label,command,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26
1,cieplo,14.772089355142251,16.649517476796728,15.633309639285523,15.71930953361124,18.320396686465656,17.701980001134334,15.094162232507566,15.871558989225642,14.241315461305902,14.050830456122158,15.528475181841864,18.067707886798747,18.779401991532914,16.63274019442846,16.19013295293692,16.440168216967646,15.428259723245185,14.534858518595192,14.405298644867898,14.35414035025742,15.04357294046077,15.712968897714761,16.87003241361073,16.87630792009999,13.352289664697546,14.605917140649645
1,cieplo,15.192984320283689,16.929347356265193,17.148444185337368,19.174827752868627,18.095649026181377,18.59714562264131,16.717107656038618,16.439243819502657,16.592935848903593,15.321891152792658,15.666091698457695,15.5580912320153,16.208145540478213,16.29154393823833,16.76670643942071,17.163298655770525,14.971666514760571,14.594021764594237,14.032004257543527,14.094057630576891,14.980723105500841,16.489858312116937,15.49600441200363,14.61236907980239,14.638527874196331,15.373974108809906
1,cieplo,14.127462152582215,15.79276760987263,17.067974215073196,18.302215738209405,20.587242420678404,18.54901247403928,17.29615992090848,16.054625726633763,15.864765719544568,15.662425469725383,18.174552698273505,17.99906125436852,17.394998269904974,14.474579512823775,15.174441660454484,15.598017132152053,13.525352362168187,12.83657385740668,12.690281159324375,12.591595582921746,13.308907704072507,14.947689301679173,15.402117345021294,16.692816189967186,15.150545310814328,16.38090862519574
1,cieplo,12.050629665670378,14.509983702216816,13.791941485919661,14.565046572518293,12.81339835673818,12.359119872988968,12.946401254068961,13.244333294389355,11.618800061308425,11.568853155540562,11.936330697049291,12.22184269694354,11.390426720292275,11.226283195935437,11.619256016358568,13.203587494409295,11.840479120442481,10.517731101299304,10.659953992764269,10.189278694757297,11.45714201870153,11.9689241897791,11.496194195515992,11.354296652305191,11.23604561623604,10.771058873543645
1,cieplo,12.036604457819713,12.217874651090291,12.32805567431148,12.324477360199912,12.536221254318127,12.906254356144277,13.135540357461066,13.821825164558557,13.252752778015129,13.034036895159883,13.87936033373136,14.182586201819534,15.155394930734372,16.92993494554506,16.723817021947475,17.91555752081386,19.215744380029992,18.069620637693593,16.63475869621092,17.39226487830647,18.698284116828912,17.252301086642426,15.982708052263659,13.514214228223084,12.11617573848151,10.930754944629026
1,cieplo,11.72189668647091,13.639993818566685,15.544199417539277,14.883065396694743,16.615060500814543,15.311236240124307,12.900187903409131,12.116099418821255,12.830315091977761,11.902930746624294,12.219581213150095,12.575820351713094,14.247768308004641,13.535252179501619,13.183690510526228,13.169110466183383,11.73284153228822,9.535077114668637,8.732995989993203,10.297058948719512,11.472091204327187,12.483603576766052,12.593612643490514,12.095211459915234,11.239418266664096,12.43261108239442
1,cieplo,15.495308108448334,17.096166914403234,17.162147636143125,18.10193031953828,18.438924906168232,17.67892435280767,17.2180421667192,16.90392986791336,13.64855218337934,13.336456518861004,15.267714390682611,17.001346241305175,17.416945118314164,15.45217286417621,15.081113976839152,15.949467778022143,14.97874139403233,12.951942126988872,12.004044212520594,12.597469702364076,14.564127912873605,15.202204504855553,15.594520314483743,15.74004243191232,13.978539032753044,14.96029549307396
1,cieplo,14.62167625216372,16.501818000013117,15.679069818084196,15.665489934828983,16.632970346237197,16.164904590920656,15.205687364452869,15.81326213718671,13.483484256774187,12.606986437750571,12.731741019952182,13.930698842434378,15.473190750481386,13.504105716383602,14.0754388517286,14.872015714848427,13.617622124819592,10.687494120016254,10.351970247110687,10.337827291516568,13.333649777701762,14.025519813953633,13.856658399438295,13.376994797498982,12.840346929873924,13.392646195112187
1,cieplo,14.81059361173454,16.932757205017268,17.19090227221871,18.433839527170218,17.15272823492319,16.973907448191706,15.780181810387582,16.39176624078286,15.099698383573681,14.534770817500897,15.192134426220427,15.43614696988564,14.79091415019508,14.320501702606126,15.603819345232177,16.03477988424963,14.135603243932074,13.276932547237195,13.33102144303567,13.29073368877222,13.866416483513273,15.264015217654993,14.26124397812271,14.19481063195534,13.709000245411229,14.243142663868925
1,cieplo,14.352862785170627,16.34484488801851,16.814341300871632,18.817341670648737,18.895390465272133,15.740413821122713,14.436067486520125,14.587668915152332,13.24972692108979,12.754160492071403,14.109292870796567,14.86668310270074,16.306137801351998,16.632900511652544,14.287655309229494,15.822845225914678,15.448483956407507,13.322847651578993,12.60588159112353,12.967499729228056,15.092366824633272,15.114539555538611,15.480171638248343,14.123165288928178,12.260748007616453,14.720466790657927
1,cieplo,10.600070632597157,13.216580070044818,15.252152046002122,13.20112254042431,14.636613168219714,13.48725547340189,9.850634620958765,9.34444709140507,9.738039670479438,10.429862850540545,10.692620865223999,11.928014521045473,14.203569920991917,12.556869571833397,11.36186992228275,10.858296825076186,10.539240671502105,9.19933712506052,8.681135329026608,8.52703187890986,9.812650136438172,11.09140706576415,12.6322483454608,12.006342046557316,10.20202165545722,10.931056492717422
